base_routed_candidates,after_session,after_volume,after_atr,after_adx,after_adaptive_composite,final_candidates,timeframe,filter_preset,segment
11110,6736,7110,9411,8317,5105,4009,M15,loose,IS
3092,1841,1977,2890,2172,1369,935,M15,loose,OOS
11110,6736,6522,8399,7246,3954,3211,M15,moderate,IS
3092,1841,1838,2707,1900,1099,754,M15,moderate,OOS
11110,6736,5915,7261,3122,1547,1328,M15,balanced,IS
3092,1841,1701,2381,828,403,294,M15,balanced,OOS
11110,6736,4001,5643,2125,611,528,M15,strict,IS
3092,1841,1197,1904,572,187,140,M15,strict,OOS
34078,19770,20881,26344,25902,14908,11567,M5,loose,IS
9266,5251,5892,8088,6819,4186,2755,M5,loose,OOS
34078,19770,18923,24092,22977,11746,9369,M5,moderate,IS
9266,5251,5411,7411,6064,3306,2195,M5,moderate,OOS
34078,19770,16964,21612,7060,3477,2859,M5,balanced,IS
9266,5251,4918,6527,1843,858,566,M5,balanced,OOS
34078,19770,10890,17395,4887,1380,1161,M5,strict,IS
9266,5251,3441,5256,1284,351,247,M5,strict,OOS
