hour,base_candidates,accepted_candidates,acceptance_rate,timeframe,filter_preset,segment,experiment_name
0,227,227,1.0,M15,loose,IS,baseline_all_day
1,469,469,1.0,M15,loose,IS,baseline_all_day
2,538,538,1.0,M15,loose,IS,baseline_all_day
3,597,597,1.0,M15,loose,IS,baseline_all_day
4,601,601,1.0,M15,loose,IS,baseline_all_day
5,530,530,1.0,M15,loose,IS,baseline_all_day
6,514,514,1.0,M15,loose,IS,baseline_all_day
7,529,529,1.0,M15,loose,IS,baseline_all_day
8,624,624,1.0,M15,loose,IS,baseline_all_day
9,662,662,1.0,M15,loose,IS,baseline_all_day
10,633,633,1.0,M15,loose,IS,baseline_all_day
11,556,556,1.0,M15,loose,IS,baseline_all_day
12,601,601,1.0,M15,loose,IS,baseline_all_day
13,617,617,1.0,M15,loose,IS,baseline_all_day
14,581,581,1.0,M15,loose,IS,baseline_all_day
15,517,517,1.0,M15,loose,IS,baseline_all_day
16,297,297,1.0,M15,loose,IS,baseline_all_day
17,226,226,1.0,M15,loose,IS,baseline_all_day
18,211,211,1.0,M15,loose,IS,baseline_all_day
19,330,330,1.0,M15,loose,IS,baseline_all_day
20,352,352,1.0,M15,loose,IS,baseline_all_day
21,339,339,1.0,M15,loose,IS,baseline_all_day
22,306,306,1.0,M15,loose,IS,baseline_all_day
23,253,253,1.0,M15,loose,IS,baseline_all_day
0,227,0,0.0,M15,loose,IS,session_only
1,469,0,0.0,M15,loose,IS,session_only
2,538,0,0.0,M15,loose,IS,session_only
3,597,0,0.0,M15,loose,IS,session_only
4,601,0,0.0,M15,loose,IS,session_only
5,530,0,0.0,M15,loose,IS,session_only
6,514,0,0.0,M15,loose,IS,session_only
7,529,529,1.0,M15,loose,IS,session_only
8,624,624,1.0,M15,loose,IS,session_only
9,662,662,1.0,M15,loose,IS,session_only
10,633,633,1.0,M15,loose,IS,session_only
11,556,556,1.0,M15,loose,IS,session_only
12,601,601,1.0,M15,loose,IS,session_only
13,617,617,1.0,M15,loose,IS,session_only
14,581,581,1.0,M15,loose,IS,session_only
15,517,517,1.0,M15,loose,IS,session_only
16,297,297,1.0,M15,loose,IS,session_only
17,226,226,1.0,M15,loose,IS,session_only
18,211,211,1.0,M15,loose,IS,session_only
19,330,330,1.0,M15,loose,IS,session_only
20,352,352,1.0,M15,loose,IS,session_only
21,339,0,0.0,M15,loose,IS,session_only
22,306,0,0.0,M15,loose,IS,session_only
23,253,0,0.0,M15,loose,IS,session_only
0,227,15,0.06607929515418502,M15,loose,IS,volume_only
1,469,70,0.14925373134328357,M15,loose,IS,volume_only
2,538,206,0.3828996282527881,M15,loose,IS,volume_only
3,597,391,0.6549413735343383,M15,loose,IS,volume_only
4,601,392,0.6522462562396006,M15,loose,IS,volume_only
5,530,206,0.3886792452830189,M15,loose,IS,volume_only
6,514,108,0.21011673151750973,M15,loose,IS,volume_only
7,529,216,0.40831758034026466,M15,loose,IS,volume_only
8,624,443,0.7099358974358975,M15,loose,IS,volume_only
9,662,591,0.8927492447129909,M15,loose,IS,volume_only
10,633,553,0.8736176935229067,M15,loose,IS,volume_only
11,556,432,0.7769784172661871,M15,loose,IS,volume_only
12,601,407,0.6772046589018302,M15,loose,IS,volume_only
13,617,487,0.7893030794165316,M15,loose,IS,volume_only
14,581,536,0.9225473321858864,M15,loose,IS,volume_only
15,517,509,0.9845261121856866,M15,loose,IS,volume_only
16,297,293,0.9865319865319865,M15,loose,IS,volume_only
17,226,219,0.9690265486725663,M15,loose,IS,volume_only
18,211,194,0.919431279620853,M15,loose,IS,volume_only
19,330,276,0.8363636363636363,M15,loose,IS,volume_only
20,352,250,0.7102272727272727,M15,loose,IS,volume_only
21,339,175,0.5162241887905604,M15,loose,IS,volume_only
22,306,121,0.3954248366013072,M15,loose,IS,volume_only
23,253,20,0.07905138339920949,M15,loose,IS,volume_only
0,227,128,0.5638766519823789,M15,loose,IS,atr_only
1,469,313,0.6673773987206824,M15,loose,IS,atr_only
2,538,316,0.587360594795539,M15,loose,IS,atr_only
3,597,396,0.6633165829145728,M15,loose,IS,atr_only
4,601,437,0.7271214642262895,M15,loose,IS,atr_only
5,530,362,0.6830188679245283,M15,loose,IS,atr_only
6,514,311,0.6050583657587548,M15,loose,IS,atr_only
7,529,343,0.6483931947069943,M15,loose,IS,atr_only
8,624,510,0.8173076923076923,M15,loose,IS,atr_only
9,662,604,0.9123867069486404,M15,loose,IS,atr_only
10,633,604,0.9541864139020537,M15,loose,IS,atr_only
11,556,541,0.9730215827338129,M15,loose,IS,atr_only
12,601,594,0.9883527454242929,M15,loose,IS,atr_only
13,617,603,0.9773095623987034,M15,loose,IS,atr_only
14,581,575,0.9896729776247849,M15,loose,IS,atr_only
15,517,515,0.9961315280464217,M15,loose,IS,atr_only
16,297,297,1.0,M15,loose,IS,atr_only
17,226,226,1.0,M15,loose,IS,atr_only
18,211,211,1.0,M15,loose,IS,atr_only
19,330,327,0.990909090909091,M15,loose,IS,atr_only
20,352,350,0.9943181818181818,M15,loose,IS,atr_only
21,339,329,0.9705014749262537,M15,loose,IS,atr_only
22,306,296,0.9673202614379085,M15,loose,IS,atr_only
23,253,223,0.8814229249011858,M15,loose,IS,atr_only
0,227,169,0.7444933920704846,M15,loose,IS,adx_only
1,469,332,0.7078891257995735,M15,loose,IS,adx_only
2,538,382,0.7100371747211895,M15,loose,IS,adx_only
3,597,421,0.7051926298157454,M15,loose,IS,adx_only
4,601,434,0.7221297836938436,M15,loose,IS,adx_only
5,530,389,0.7339622641509433,M15,loose,IS,adx_only
6,514,395,0.7684824902723736,M15,loose,IS,adx_only
7,529,384,0.725897920604915,M15,loose,IS,adx_only
8,624,462,0.7403846153846154,M15,loose,IS,adx_only
9,662,501,0.756797583081571,M15,loose,IS,adx_only
10,633,493,0.7788309636650869,M15,loose,IS,adx_only
11,556,421,0.7571942446043165,M15,loose,IS,adx_only
12,601,445,0.740432612312812,M15,loose,IS,adx_only
13,617,448,0.7260940032414911,M15,loose,IS,adx_only
14,581,437,0.7521514629948365,M15,loose,IS,adx_only
15,517,392,0.758220502901354,M15,loose,IS,adx_only
16,297,230,0.7744107744107744,M15,loose,IS,adx_only
17,226,166,0.7345132743362832,M15,loose,IS,adx_only
18,211,174,0.8246445497630331,M15,loose,IS,adx_only
19,330,255,0.7727272727272727,M15,loose,IS,adx_only
20,352,279,0.7926136363636364,M15,loose,IS,adx_only
21,339,252,0.7433628318584071,M15,loose,IS,adx_only
22,306,254,0.8300653594771242,M15,loose,IS,adx_only
23,253,202,0.7984189723320159,M15,loose,IS,adx_only
0,227,14,0.06167400881057269,M15,loose,IS,volume_atr
1,469,63,0.13432835820895522,M15,loose,IS,volume_atr
2,538,156,0.2899628252788104,M15,loose,IS,volume_atr
3,597,299,0.5008375209380235,M15,loose,IS,volume_atr
4,601,311,0.5174708818635607,M15,loose,IS,volume_atr
5,530,171,0.32264150943396225,M15,loose,IS,volume_atr
6,514,84,0.16342412451361868,M15,loose,IS,volume_atr
7,529,155,0.29300567107750475,M15,loose,IS,volume_atr
8,624,377,0.6041666666666666,M15,loose,IS,volume_atr
9,662,544,0.8217522658610272,M15,loose,IS,volume_atr
10,633,530,0.8372827804107424,M15,loose,IS,volume_atr
11,556,425,0.7643884892086331,M15,loose,IS,volume_atr
12,601,403,0.670549084858569,M15,loose,IS,volume_atr
13,617,478,0.7747163695299838,M15,loose,IS,volume_atr
14,581,534,0.919104991394148,M15,loose,IS,volume_atr
15,517,508,0.9825918762088974,M15,loose,IS,volume_atr
16,297,293,0.9865319865319865,M15,loose,IS,volume_atr
17,226,219,0.9690265486725663,M15,loose,IS,volume_atr
18,211,194,0.919431279620853,M15,loose,IS,volume_atr
19,330,276,0.8363636363636363,M15,loose,IS,volume_atr
20,352,250,0.7102272727272727,M15,loose,IS,volume_atr
21,339,172,0.5073746312684366,M15,loose,IS,volume_atr
22,306,120,0.39215686274509803,M15,loose,IS,volume_atr
23,253,20,0.07905138339920949,M15,loose,IS,volume_atr
0,227,11,0.048458149779735685,M15,loose,IS,adaptive_quality
1,469,46,0.09808102345415778,M15,loose,IS,adaptive_quality
2,538,119,0.2211895910780669,M15,loose,IS,adaptive_quality
3,597,229,0.38358458961474035,M15,loose,IS,adaptive_quality
4,601,234,0.389351081530782,M15,loose,IS,adaptive_quality
5,530,132,0.2490566037735849,M15,loose,IS,adaptive_quality
6,514,70,0.13618677042801555,M15,loose,IS,adaptive_quality
7,529,121,0.22873345935727787,M15,loose,IS,adaptive_quality
8,624,282,0.4519230769230769,M15,loose,IS,adaptive_quality
9,662,418,0.6314199395770392,M15,loose,IS,adaptive_quality
10,633,420,0.6635071090047393,M15,loose,IS,adaptive_quality
11,556,327,0.5881294964028777,M15,loose,IS,adaptive_quality
12,601,303,0.5041597337770383,M15,loose,IS,adaptive_quality
13,617,362,0.586709886547812,M15,loose,IS,adaptive_quality
14,581,407,0.7005163511187608,M15,loose,IS,adaptive_quality
15,517,385,0.7446808510638298,M15,loose,IS,adaptive_quality
16,297,226,0.7609427609427609,M15,loose,IS,adaptive_quality
17,226,161,0.7123893805309734,M15,loose,IS,adaptive_quality
18,211,168,0.7962085308056872,M15,loose,IS,adaptive_quality
