entry_hour,trades,net_pnl_cents,mean_pnl_cents,win_rate,timeframe,filter_preset,segment,experiment_name
1,3,-48.78400357225928,-16.261334524086426,0.0,M15,loose,IS,baseline_all_day
2,6,-91.69319235904368,-15.28219872650728,0.16666666666666666,M15,loose,IS,baseline_all_day
3,8,-143.42710549116873,-17.92838818639609,0.25,M15,loose,IS,baseline_all_day
4,7,-149.78371594445434,-21.39767370635062,0.14285714285714285,M15,loose,IS,baseline_all_day
5,12,-99.80038788605725,-8.31669899050477,0.3333333333333333,M15,loose,IS,baseline_all_day
6,6,81.20058680448892,13.533431134081487,1.0,M15,loose,IS,baseline_all_day
7,2,-0.7636462529762866,-0.3818231264881433,0.5,M15,loose,IS,baseline_all_day
8,5,0.854557492443746,0.1709114984887492,0.4,M15,loose,IS,baseline_all_day
9,2,-55.930622856421905,-27.965311428210953,0.0,M15,loose,IS,baseline_all_day
10,2,-67.19169038467953,-33.595845192339766,0.0,M15,loose,IS,baseline_all_day
11,1,13.570794957372527,13.570794957372527,1.0,M15,loose,IS,baseline_all_day
12,4,37.91050617054225,9.477626542635562,0.75,M15,loose,IS,baseline_all_day
13,8,62.64969715188727,7.831212143985908,0.625,M15,loose,IS,baseline_all_day
14,4,0.3530387925593459,0.08825969813983647,0.5,M15,loose,IS,baseline_all_day
16,2,-81.09655191694401,-40.548275958472004,0.0,M15,loose,IS,baseline_all_day
17,5,13.969405586499306,2.793881117299861,0.6,M15,loose,IS,baseline_all_day
18,3,-64.42924658326774,-21.476415527755915,0.3333333333333333,M15,loose,IS,baseline_all_day
19,2,39.13311072217766,19.56655536108883,0.5,M15,loose,IS,baseline_all_day
20,3,18.578250435839436,6.192750145279812,0.6666666666666666,M15,loose,IS,baseline_all_day
21,3,46.17796386009559,15.392654620031863,0.6666666666666666,M15,loose,IS,baseline_all_day
23,2,-44.187043197071034,-22.093521598535517,0.0,M15,loose,IS,baseline_all_day
7,7,-101.3623251868512,-14.48033216955017,0.14285714285714285,M15,loose,IS,session_only
8,11,5.761239855619351,0.5237490777835774,0.36363636363636365,M15,loose,IS,session_only
9,6,-187.99850952553243,-31.333084920922072,0.0,M15,loose,IS,session_only
10,6,-98.00439705156805,-16.33406617526134,0.16666666666666666,M15,loose,IS,session_only
11,7,-22.662254075903547,-3.2374648679862212,0.42857142857142855,M15,loose,IS,session_only
12,5,28.264082032605984,5.652816406521197,0.6,M15,loose,IS,session_only
13,10,42.91084775480613,4.291084775480613,0.5,M15,loose,IS,session_only
14,13,-33.30406677276642,-2.5618512902128012,0.38461538461538464,M15,loose,IS,session_only
15,4,-114.35000082893566,-28.587500207233916,0.0,M15,loose,IS,session_only
16,4,-55.96666226623711,-13.991665566559277,0.25,M15,loose,IS,session_only
17,5,13.969405586499306,2.793881117299861,0.6,M15,loose,IS,session_only
18,3,-64.42924658326774,-21.476415527755915,0.3333333333333333,M15,loose,IS,session_only
19,2,39.13311072217766,19.56655536108883,0.5,M15,loose,IS,session_only
20,5,46.800558562358674,9.360111712471735,0.6,M15,loose,IS,session_only
2,2,4.10597651279204,2.05298825639602,0.5,M15,loose,IS,volume_only
3,9,7.555058579359866,0.8394509532622073,0.3333333333333333,M15,loose,IS,volume_only
4,8,0.10224420508166077,0.012780525635207596,0.375,M15,loose,IS,volume_only
5,3,-7.470184318040083,-2.4900614393466944,0.3333333333333333,M15,loose,IS,volume_only
6,3,-25.57055424986629,-8.523518083288764,0.0,M15,loose,IS,volume_only
7,6,-51.97110480016818,-8.661850800028029,0.0,M15,loose,IS,volume_only
8,8,-50.41105661051006,-6.301382076313757,0.125,M15,loose,IS,volume_only
9,4,-12.944088624435608,-3.236022156108902,0.25,M15,loose,IS,volume_only
10,15,33375.9008196562,2225.0600546437468,0.4,M15,loose,IS,volume_only
11,7,2.5038368963532776,0.3576909851933254,0.42857142857142855,M15,loose,IS,volume_only
12,7,-21.81856639635953,-3.1169380566227898,0.2857142857142857,M15,loose,IS,volume_only
13,15,-74.56262957642593,-4.970841971761729,0.26666666666666666,M15,loose,IS,volume_only
14,13,-23.73141754225344,-1.8254936570964184,0.38461538461538464,M15,loose,IS,volume_only
15,6,-50.4960460767461,-8.416007679457683,0.16666666666666666,M15,loose,IS,volume_only
16,4,-54.3037426893261,-13.575935672331525,0.0,M15,loose,IS,volume_only
17,6,13.489005401902432,2.2481675669837387,0.3333333333333333,M15,loose,IS,volume_only
18,3,7.343016813674694,2.447672271224898,0.3333333333333333,M15,loose,IS,volume_only
19,2,-24.466221852912895,-12.233110926456447,0.0,M15,loose,IS,volume_only
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,loose,IS,volume_only
21,1,-9.292921796345581,-9.292921796345581,0.0,M15,loose,IS,volume_only
2,3,17.748157546666334,5.916052515555445,0.3333333333333333,M15,loose,IS,atr_only
3,6,-77.51161505357686,-12.918602508929476,0.16666666666666666,M15,loose,IS,atr_only
4,7,-84.19142341184852,-12.027346201692646,0.2857142857142857,M15,loose,IS,atr_only
5,5,-108.64761437979269,-21.729522875958537,0.0,M15,loose,IS,atr_only
8,7,6.315252625522589,0.902178946503227,0.42857142857142855,M15,loose,IS,atr_only
9,2,-55.930622856421905,-27.965311428210953,0.0,M15,loose,IS,atr_only
10,4,-31.487778075957067,-7.871944518989267,0.25,M15,loose,IS,atr_only
11,7,-22.662254075903547,-3.2374648679862212,0.42857142857142855,M15,loose,IS,atr_only
12,5,28.264082032605984,5.652816406521197,0.6,M15,loose,IS,atr_only
13,10,42.91084775480613,4.291084775480613,0.5,M15,loose,IS,atr_only
14,7,20.89084944581373,2.9844070636876756,0.5714285714285714,M15,loose,IS,atr_only
15,2,-64.84209532842215,-32.42104766421107,0.0,M15,loose,IS,atr_only
16,2,-81.09655191694401,-40.548275958472004,0.0,M15,loose,IS,atr_only
17,5,13.969405586499306,2.793881117299861,0.6,M15,loose,IS,atr_only
18,3,-64.42924658326774,-21.476415527755915,0.3333333333333333,M15,loose,IS,atr_only
19,2,39.13311072217766,19.56655536108883,0.5,M15,loose,IS,atr_only
20,5,46.800558562358674,9.360111712471735,0.6,M15,loose,IS,atr_only
21,7,-94.41065603274637,-13.487236576106625,0.2857142857142857,M15,loose,IS,atr_only
22,2,-56.80401467411684,-28.40200733705842,0.0,M15,loose,IS,atr_only
0,4,-68.80184323349113,-17.20046080837278,0.0,M15,loose,IS,adx_only
1,3,-16.649483281489665,-5.549827760496555,0.0,M15,loose,IS,adx_only
2,3,-1.8538108431266664,-0.6179369477088889,0.3333333333333333,M15,loose,IS,adx_only
3,7,-20.928480121724533,-2.989782874532076,0.2857142857142857,M15,loose,IS,adx_only
4,9,39.38678383820843,4.376309315356492,0.4444444444444444,M15,loose,IS,adx_only
5,9,-24.122096494561447,-2.680232943840161,0.2222222222222222,M15,loose,IS,adx_only
6,6,-6.186068286388036,-1.0310113810646726,0.3333333333333333,M15,loose,IS,adx_only
7,3,-26.707684779967167,-8.902561593322389,0.0,M15,loose,IS,adx_only
8,5,-23.283256248346333,-4.656651249669267,0.2,M15,loose,IS,adx_only
9,4,-12.944088624435608,-3.236022156108902,0.25,M15,loose,IS,adx_only
10,11,33392.69021833222,3035.699110757475,0.45454545454545453,M15,loose,IS,adx_only
11,12,-23.225425380605884,-1.9354521150504904,0.3333333333333333,M15,loose,IS,adx_only
12,10,-26.049569243728,-2.6049569243728,0.3,M15,loose,IS,adx_only
13,14,-44.170562923104626,-3.1550402087931877,0.2857142857142857,M15,loose,IS,adx_only
