entry_time,SessionFilter,EquityCurveFilter,VolatilityFilter,SpreadFilter,RegimeFilter,result
2021-08-11 17:40:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-08-11 17:40:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-08-25 17:55:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-08-25 17:55:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-09-09 18:20:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-09-09 18:20:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-09-23 12:10:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-09-23 12:10:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-10-06 17:45:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-10-06 17:45:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-11-03 19:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-11-03 19:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-11-23 19:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-11-23 19:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2021-11-26 00:40:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2021-11-26 00:40:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2021-11-26 01:40:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2021-11-26 01:40:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2021-12-28 12:20:00,PASS,PASS,FAIL,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2021-12-28 12:20:00,PASS,PASS,FAIL,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-01-12 08:40:00,PASS,PASS,FAIL,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-01-12 08:40:00,PASS,PASS,FAIL,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-01-18 12:40:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2022-01-18 12:40:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2022-02-25 06:45:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-25 06:45:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-25 08:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2022-02-25 08:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2022-02-25 20:30:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2022-02-25 20:30:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2022-02-25 21:25:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-25 21:25:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-28 21:25:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-28 21:25:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-28 22:05:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-02-28 22:05:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-03-02 01:35:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-03-02 01:35:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-03-02 01:45:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-03-02 01:45:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-06-20 00:00:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2022-06-20 00:00:00,FAIL,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,REJECTED
2023-06-07 09:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
2023-06-07 09:00:00,PASS,PASS,PASS,PASS,PASS,EXECUTED
