Filter,Trades,Win %,PF,DD %,Recovery,CAGR %,Expectancy $
Spread Only,368,30.43,1.349,29.17,2.162,30.77,0.1145
Equity Only,368,30.43,1.363,28.18,2.061,39.34,0.1723
Regime + Equity,368,30.43,1.359,28.04,2.047,37.33,0.1574
Volatility + Equity,268,31.34,1.423,27.45,1.879,28.29,0.1378
All Filters,176,34.09,1.409,22.11,1.711,10.31,0.0538
Configured (FILTER_CONFIG),176,34.09,1.409,22.11,1.711,10.31,0.0538
Baseline (no filter),368,30.43,1.27,38.42,1.287,38.47,0.1658
Regime Only,368,30.43,1.27,38.02,1.287,36.64,0.1525
Volatility Only,268,31.34,1.326,36.19,1.242,27.68,0.1333
Session Only,230,30.43,1.116,73.34,0.399,14.17,0.0611
Session + Regime,230,30.43,1.116,71.4,0.399,13.27,0.0562
