trade_id,entry_time,entry_price,exit_time,exit_price,side,leg,floating_max_usd,floating_min_usd,realised_pnl_usd,exit_reason
0,2026-02-02 14:30:00,4796.01,2026-02-02 15:00:00,4751.65,SHORT,A,15.21,-3.06,8.87,TP(leg A)
1,2026-02-02 14:30:00,4796.01,2026-02-02 15:00:00,4738.341,SHORT,B,15.21,-3.06,11.53,TP(fixed)
2,2026-02-03 15:30:00,4940.88,2026-02-03 16:00:00,4918.78,SHORT,A,4.8,-1.86,4.42,TP(leg A)
3,2026-02-03 15:30:00,4940.88,2026-02-03 16:15:00,4912.15,SHORT,B,8.97,-1.86,5.75,TP(fixed)
4,2026-02-04 13:15:00,5023.11,2026-02-04 13:15:00,5041.101,LONG,A,3.94,-2.06,3.6,TP(leg A)
5,2026-02-04 13:15:00,5023.11,2026-02-04 13:45:00,5046.499,LONG,B,5.16,-2.06,4.68,TP(fixed)
6,2026-02-06 15:45:00,4928.82,2026-02-06 16:15:00,4907.9,SHORT,A,6.99,-1.07,4.18,TP(leg A)
7,2026-02-06 15:45:00,4928.82,2026-02-06 16:15:00,4901.625,SHORT,B,6.99,-1.07,5.44,TP(fixed)
8,2026-02-06 17:15:00,4954.78,2026-02-06 17:45:00,4930.904,SHORT,A,5.37,-0.99,4.78,TP(leg A)
9,2026-02-06 17:15:00,4954.78,2026-02-06 18:15:00,4923.741,SHORT,B,6.73,-0.99,6.21,TP(fixed)
10,2026-02-10 18:15:00,5009.27,2026-02-10 19:15:00,5026.797,LONG,A,8.49,-1.49,5.26,TP(leg A)
11,2026-02-10 18:15:00,5009.27,2026-02-10 19:15:00,5032.055,LONG,B,8.49,-1.49,6.84,TP(fixed)
12,2026-02-13 16:00:00,4998.03,2026-02-13 16:30:00,4983.007,SHORT,A,10.37,-3.81,4.51,TP(leg A)
13,2026-02-13 16:00:00,4998.03,2026-02-13 16:30:00,4978.5,SHORT,B,10.37,-3.81,5.86,TP(fixed)
14,2026-02-17 14:15:00,4942.44,2026-02-17 14:45:00,4930.877,SHORT,A,4.18,-0.57,3.47,TP(leg A)
15,2026-02-17 14:15:00,4942.44,2026-02-17 15:00:00,4927.408,SHORT,B,7.46,-0.57,4.51,TP(fixed)
16,2026-02-20 14:15:00,5011.18,2026-02-20 14:15:00,5020.587,LONG,A,3.38,-0.24,2.82,TP(leg A)
17,2026-02-20 14:15:00,5011.18,2026-02-20 14:30:00,5023.409,LONG,B,4.07,-1.63,3.67,TP(fixed)
18,2026-02-24 16:00:00,5103.25,2026-02-24 16:00:00,5117.532,LONG,A,6.61,-3.89,4.28,TP(leg A)
19,2026-02-24 16:00:00,5103.25,2026-02-24 16:00:00,5121.816,LONG,B,6.61,-3.89,5.57,TP(fixed)
20,2026-02-25 13:00:00,5161.9,2026-02-25 13:00:00,5171.039,LONG,A,3.51,-0.38,2.74,TP(leg A)
21,2026-02-25 13:00:00,5161.9,2026-02-25 13:45:00,5173.78,LONG,B,5.56,-2.79,3.56,TP(fixed)
22,2026-02-25 16:30:00,5173.83,2026-02-25 16:45:00,5183.407,LONG,A,5.41,-5.4,2.87,TP(leg A)
23,2026-02-25 16:30:00,5173.83,2026-02-25 16:45:00,5186.281,LONG,B,5.41,-5.4,3.74,TP(fixed)
24,2026-02-26 17:15:00,5139.69,2026-02-26 17:15:00,5152.896,LONG,A,6.37,-3.58,3.96,TP(leg A)
25,2026-02-26 17:15:00,5139.69,2026-02-26 17:15:00,5156.858,LONG,B,6.37,-3.58,5.15,TP(fixed)
26,2026-03-12 14:00:00,5167.09,2026-03-12 14:00:00,5174.577,LONG,A,3.7,-0.36,2.25,TP(leg A)
27,2026-03-12 14:00:00,5167.09,2026-03-12 14:00:00,5176.823,LONG,B,3.7,-0.36,2.92,TP(fixed)
28,2026-03-13 14:45:00,5116.59,2026-03-13 15:30:00,5106.3,SHORT,A,5.62,-1.0,3.09,TP(leg A)
29,2026-03-13 14:45:00,5116.59,2026-03-13 15:30:00,5103.213,SHORT,B,5.62,-1.0,4.01,TP(fixed)
30,2026-03-16 13:15:00,5016.84,2026-03-16 13:15:00,5004.632,SHORT,A,4.69,-1.01,3.66,TP(leg A)
31,2026-03-16 13:30:00,5013.81,2026-03-16 13:30:00,5018.045,SHORT,C,0.59,-1.35,-1.27,SL
32,2026-03-16 13:15:00,5016.84,2026-03-16 13:45:00,5000.969,SHORT,B,8.06,-1.01,4.76,TP(fixed)
33,2026-03-16 15:30:00,5029.52,2026-03-16 15:30:00,5016.83,SHORT,A,3.92,-0.86,3.81,TP(leg A)
34,2026-03-16 15:30:00,5029.52,2026-03-16 16:15:00,5013.023,SHORT,B,5.14,-2.01,4.95,TP(fixed)
