timeframe,strategy_name,exit_model,trade_count,base_ppt_usd,base_max_dd_pct,engine_max_dd_pct,lot_for_target,dd_at_target_pct,meets_target_within_dd,max_lot_within_dd,max_ppt_usd_within_dd,profit_factor,win_rate,robust_score,parameter_set
M15,trend_pullback,fixed_tp,2796,0.15550029331114223,15.636508609798994,15.636508609798977,0.0965,19.002589004382347,True,2.1239,16.51340617229564,1.5377435848394232,0.6097997138769671,16.549837978747973,"{""adx_threshold"": 15.0, ""atr_stop"": 2.5, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2729,0.15372035810364124,16.88870697028462,16.888706970284648,0.0976,20.80761501280481,True,0.3425,2.632697048751278,1.5362300735433143,0.6075485525833638,16.537581453946054,"{""adx_threshold"": 15.0, ""atr_stop"": 2.5, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2717,0.1776025230548101,20.288854208078046,20.28885420807801,0.0845,23.31036155169795,True,0.1581,1.4039870776251027,1.5725062793249995,0.631947000368053,18.396948459917176,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp_plus_mr,2726,0.16648663434223981,18.025020486556546,18.025020486556574,0.0901,23.356237728362775,True,0.1395,1.1614277114035993,1.5885381685518458,0.6382978723404256,17.093103483489575,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2655,0.179590621302426,21.022105682855884,21.02210568285591,0.0835,24.328862314667816,True,0.114,1.0234774674413585,1.5803378011906157,0.6312617702448211,18.48333961411059,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2331,0.18622558581539045,21.563775843556346,21.563775843556353,0.0805,27.23354312883586,True,0.0938,0.8733704163111785,1.4302815325945566,0.5898755898755899,17.247637293717283,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp_plus_mr,2663,0.1627246112255173,18.943220239903916,18.94322023990391,0.0922,27.52811362384888,True,0.104,0.8461188847632236,1.5773786323562624,0.6361246714232069,16.95373871937272,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2272,0.19096591153132597,22.421390432808295,22.421390432808277,0.0785,31.131838799497185,False,0.0749,0.7149713319724665,1.4436665095265793,0.5915492957746479,17.51067635300336,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2504,0.16013536528119143,13.393421168022071,13.393421168022094,0.0937,33.75254448128862,False,0.0787,0.6304224109442703,1.5429431399193623,0.6110223642172524,17.35003548710742,"{""adx_threshold"": 18.0, ""atr_stop"": 2.5, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
M15,trend_pullback,fixed_tp,2324,0.14232033766884178,17.969861972322246,17.969861972322278,0.1054,36.28401460027423,False,0.0791,0.5628681745744857,1.4792077704231106,0.6037005163511188,16.529261397367467,"{""adx_threshold"": 18.0, ""atr_stop"": 2.5, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}"
